Team,w,l,t,PF,PA,F-average,A-average,playoffs?,championship,Season
Ben,8,6,,1489,1361,7.42,-1.73,1,1,2013
Mike,8,5,,1301,1082,9.15,-7.69,1,1,2014
Kenley,7,6,,1145,1155,-2.49,-1.72,1,1,2015
Bobby,7,6,,1429.1,1390.3,1.82,-1.16,1,1,2016
Ollie,10,3,,1577.8,1253.4,19.35,-5.61,1,1,2017
Dave,9,4,,1687.3,1532.6,14.96,3.06,1,1,2018
Kiri,11,2,0,1464.4,1171.62,2.57,-19.95,1,1,2019
Jack,10,3,,1618.22,1310.76,9.26,-2.52,1,1,2020
Ben,9,5,,1692.5,1580.9,10.20,13.94,1,1,2021
Andy,8,6,,1572.16,1462.54,7.35,9.10,1,1,2022
Mike,7,7,,1500.32,1478.7,7.67,14.39,1,1,2023
Joe,12,2,,1802.94,1444.8,20.94,6.49,1,1,2024
Mike,8,6,,1465,1441,5.71,3.99,1,0,2013
Ollie,9,5,,1446,1229,4.35,-11.16,1,0,2013
Joe,7,7,,1340,1334,-3.22,-3.66,1,0,2013
Dave,9,4,,1345,1152,12.54,-2.31,1,0,2014
Ben,9,4,,1183,1110,0.08,-5.54,1,0,2014
TJ,8,5,,1298,1232,8.92,3.85,1,0,2014
Mike,7,5,1,1368,1246,15.88,5.72,1,0,2015
Ollie,8,5,,1103,1103,-5.72,-5.72,1,0,2015
Bobby,8,3,2,1434,1196,23.33,1.69,1,0,2015
Mike,8,5,,1429.5,1359.7,1.86,-3.52,1,0,2016
Dave,6,7,,1476.5,1424.3,5.47,1.45,1,0,2016
Andy,10,3,,1425.7,1417.3,1.56,0.92,1,0,2016
Kenley,10,3,,1404.8,1320.3,-0.04,-6.55,1,0,2016
Joe,8,5,,1501.6,1401.3,7.40,-0.32,1,0,2016
Mike,9,4,,1291.9,1282.9,-2.64,-3.34,1,0,2017
Dave,7,6,,1380.7,1320.6,4.19,-0.44,1,0,2017
Andy,7,6,,1258.5,1253.2,-5.21,-5.62,1,0,2017
Kenley,8,5,,1355.8,1317.8,2.27,-0.65,1,0,2017
Jack,7,6,,1427.8,1343,7.81,1.28,1,0,2017
Mike,6,7,,1493.2,1486.7,0.03,-0.47,1,0,2018
Ben,9,4,,1464.6,1519.1,-2.17,2.02,1,0,2018
Joe,8,5,,1601.9,1456.8,8.39,-2.77,1,0,2018
Jack,7,6,,1520.3,1396.8,2.11,-7.38,1,0,2018
Kiri,7,6,,1605.9,1477.7,8.70,-1.16,1,0,2018
Mike,8,5,0,1377.02,1427.2,-4.15,-0.29,1,0,2019
Andy,7,6,0,1556.22,1423.04,9.63,-0.61,1,0,2019
Ollie,6,7,0,1388.8,1447.12,-3.24,1.24,1,0,2019
Ben,8,5,0,1589.02,1454.4,12.16,1.80,1,0,2019
Joe,10,3,0,1538.96,1338.1,8.31,-7.14,1,0,2019
Dave,8,5,,1565.2,1387.82,1.61,-6.02,1,0,2020
Andy,8,5,,1577.8,1476.28,2.58,0.78,1,0,2020
Ollie,6,7,,1466.62,1521.46,-5.98,4.26,1,0,2020
Joe,8,5,,1505.44,1421.34,-1.48,-2.46,1,0,2020
Bobby,7,6,,1464.58,1359.5,-4.62,-7.22,1,0,2020
Dave,7,7,,1506.12,1565.46,-3.51,4.17,1,0,2021
Andy,9,5,,1491.72,1367.32,-4.54,-9.98,1,0,2021
Joe,8,6,,1577.16,1494.72,1.82,0.25,1,0,2021
Bobby,7,7,,1625.02,1606.1,5.23,8.21,1,0,2021
Kiri,8,6,,1437.58,1548.38,-6.51,6.19,1,0,2021
Ollie,10,4,,1775.38,1507.08,13.07,-0.21,1,0,2022
Kenley,8,6,,1625.8,1508.88,2.38,-0.08,1,0,2022
Ben,8,6,,1567.7,1517.76,-1.77,0.56,1,0,2022
Joe,8,6,,1675.72,1551.12,5.95,2.94,1,0,2022
Bobby,8,6,,1462.66,1567.46,-9.27,4.11,1,0,2022
Dave,7,7,,1453.4,1490.62,-6.75,1.76,1,0,2023
Andy,11,3,,1767.12,1526.66,15.66,4.33,1,0,2023
Ollie,7,7,,1531.96,1486.7,-1.14,1.48,1,0,2023
Joe,10,4,,1609.62,1314.24,2.20,-12.57,1,0,2023
Jack,8,6,,1599.68,1346.04,1.23,-10.49,1,0,2023
Dave,10,4,,1621.88,1562.86,11.77,8.34,1,0,2024
Andy,7,7,,1539.18,1508.7,5.86,4.48,1,0,2024
Ollie,7,7,,1534.36,1533.54,5.52,6.25,1,0,2024
Ben,8,6,,1583.28,1477.6,8.14,3.40,1,0,2024
Kiri,8,6,,1496.16,1436.68,-5.48,-3.35,1,0,2024
Dave,7,7,,1376,1341,-0.65,-3.16,0,0,2013
Andy,5,9,,1253,1347,-9.44,-2.73,0,0,2013
Kenley,7,7,,1319,1404,-4.72,1.34,0,0,2013
Bobby,7,7,,1374,1394,-0.79,0.63,0,0,2013
Jack,5,9,,1325,1495,-4.29,7.84,0,0,2013
Eric,7,7,,1464,1506,5.64,8.63,0,0,2013
TJ,,,,,,,,,,2013
Kiri,,,,,,,,,,2013
Andy,7,6,,1125,1197,-4.38,1.15,0,0,2014
Ollie,5,8,,1096,1133,-6.62,-3.77,0,0,2014
Kenley,6,7,,1110,1229,-5.54,3.62,0,0,2014
Joe,3,10,,1111,1227,-5.46,3.46,0,0,2014
Bobby,5,8,,1038,1232,-11.08,3.85,0,0,2014
Jack,5,8,,1213,1226,2.38,3.38,0,0,2014
Eric,,,,,,,,,,2014
Kiri,,,,,,,,,,2014
Dave,4,9,,1110,1149,-5.18,-2.18,0,0,2015
Andy,6,7,,1086,1141,-7.03,-2.80,0,0,2015
Ben,3,10,,975,1195,-15.57,1.35,0,0,2015
Joe,7,6,,1281,1143,7.97,-2.65,0,0,2015
Jack,7,5,1,1155,1167,-1.87,-0.87,0,0,2015
Eric,,,,,,,,,,2015
TJ,6,7,,1117,1279,-4.65,7.82,0,0,2015
Kiri,,,,,,,,,,2015
Ollie,5,8,,1420.8,1305.2,1.19,-7.71,0,0,2016
Ben,5,8,,1369,1401.6,-2.80,-0.29,0,0,2016
Jack,3,10,,1308.9,1535.6,-7.42,10.02,0,0,2016
Eric,,,,,,,,,,2016
TJ,3,10,,1287.9,1498.4,-9.04,7.15,0,0,2016
Kiri,,,,,,,,,,2016
Ben,4,9,,1226.6,1326.2,-7.67,-0.01,0,0,2017
Joe,6,7,,1357.9,1375.5,2.43,3.78,0,0,2017
Bobby,3,10,,1200.6,1382.2,-9.67,4.30,0,0,2017
Eric,,,,,,,,,,2017
TJ,,,,,,,,,,2017
Kiri,4,9,,1185.1,1408.2,-10.86,6.30,0,0,2017
Andy,5,8,,1492.4,1545.3,-0.03,4.04,0,0,2018
