Mike,82,78,1,12,0.51,17032,16977,7.21,1.59,8.00,2.00,,,,,
Kiri,54,54,0,8,0.50,11229,11703,-41.48,-7.41,4.00,1.00,,,,,
Ollie,84,77,0,12,0.52,17476,16643,38.84,-22.57,8.00,1.00,,,,,
Joe,95,66,0,12,0.59,17903,16502,70.86,-32.19,9.00,1.00,,,,,
Bobby,65,94,2,12,0.40,16214,17408,-54.63,33.68,5.00,1.00,,,,,
Ben,80,81,0,12,0.50,16655,16869,-23.78,-5.62,7.00,2.00,,,,,
Kenley,75,86,0,12,0.47,16296,17101,-49.40,10.81,4.00,1.00,,,,,
Jack,70,90,1,12,0.43,17037,17190,7.28,17.88,4.00,1.00,,,,,
Dave,84,77,0,12,0.52,17316,16897,29.61,-3.64,8.00,1.00,,,,,
Andy,90,71,0,12,0.56,17145,16665,14.62,-20.01,8.00,1.00,,,,,
TJ,17,22,0,3,0.44,3703,4009,-4.77,18.82,1.00,0.00,,,,,
Eric,7,7,0,1,0.50,1464,1506,5.64,8.63,0.00,0.00,,,,,
,,,,,,,,,,,,,,,,
